,team,home_goals,home_ga,away_ga,away_goals,home_max,home_ga_max,away_ga_max,away_max,home_avg,away_avg,home_ga_avg,away_ga_avg
0,Brynäs IF,74,69,99,58,6,6,8,6,2.8461538461538463,2.230769230769231,2.6538461538461537,3.8076923076923075
1,Djurgårdens IF,85,54,81,52,6,6,7,5,3.269230769230769,2.0,2.076923076923077,3.1153846153846154
2,Frölunda HC,91,54,72,63,8,5,5,6,3.5,2.423076923076923,2.076923076923077,2.769230769230769
3,Färjestad BK,99,58,88,74,12,6,8,7,3.8076923076923075,2.8461538461538463,2.230769230769231,3.3846153846153846
4,HV 71,87,64,66,71,8,6,6,4,3.3461538461538463,2.730769230769231,2.4615384615384617,2.5384615384615383
5,IF Malmö Redhawks,70,58,72,61,5,4,5,5,2.6923076923076925,2.3461538461538463,2.230769230769231,2.769230769230769
6,IK Oskarshamn,62,75,105,48,5,5,12,5,2.3846153846153846,1.8461538461538463,2.8846153846153846,4.038461538461538
7,Leksands IF,59,74,94,56,5,5,8,5,2.269230769230769,2.1538461538461537,2.8461538461538463,3.6153846153846154
8,Linköping HC,67,66,73,51,5,5,6,5,2.576923076923077,1.9615384615384615,2.5384615384615383,2.8076923076923075
9,Luleå HF,87,40,58,64,6,4,5,7,3.3461538461538463,2.4615384615384617,1.5384615384615385,2.230769230769231
10,Rögle BK,81,55,68,68,6,7,5,5,3.1153846153846154,2.6153846153846154,2.1153846153846154,2.6153846153846154
11,Skellefteå AIK,85,54,68,64,8,6,6,5,3.269230769230769,2.4615384615384617,2.076923076923077,2.6153846153846154
12,Växjö Lakers HC,71,59,84,56,6,7,6,5,2.730769230769231,2.1538461538461537,2.269230769230769,3.230769230769231
13,Örebro HK,80,63,70,57,6,6,7,6,3.076923076923077,2.1923076923076925,2.423076923076923,2.6923076923076925
